小区,户型,面积,价格,单价,朝向,电梯,位置,地铁
紫薇花园,2室2厅1厨1卫,75.61㎡,295,39017元/平米,东南,无,龙岗区 龙岗中心城 ,
名骏豪庭,3室1厅1厨1卫,69.3㎡,368,53103元/平米,南,有,罗湖区 莲塘 ,
玉华花园,2室1厅1厨1卫,57.8㎡,265,45848元/平米,南 北,无,龙华区 龙华中心 ,
海尚国际,2室1厅1厨1卫,81.13㎡,510,62863元/平米,西南,有,南山区 蛇口 ,近2号线(蛇口线)水湾站
庆华花园,3室2厅1厨1卫,97.9㎡,400,40859元/平米,东南,无,宝安区 翻身 ,近5号线(环中线)翻身站
龙园山庄,2室1厅1厨1卫,68.45㎡,270,39445元/平米,东南,有,罗湖区 清水河 ,
万科金色领域,3室2厅1厨2卫,114.79㎡,480,41816元/平米,南,有,宝安区 福永 ,
鸿威海怡湾,3室2厅1厨1卫,88.83㎡,1300,146347元/平米,西北,有,南山区 深圳湾 ,近2号线(蛇口线)湾厦站
绿海名都,1室0厅1厨1卫,39.89㎡,335,83981元/平米,南,有,南山区 前海 ,近1号线(罗宝线)大新站
雅涛花园,3室1厅1厨2卫,89.12㎡,399,44772元/平米,东,无,宝安区 西乡 ,近1号线(罗宝线)坪洲站
鸿荣源·壹城中心第九区,3室2厅1厨1卫,78.92㎡,479,60695元/平米,西,有,龙华区 龙华中心 ,近4号线(龙华线)龙华站
林海山庄,3室1厅1厨2卫,102.88㎡,560,54433元/平米,北,有,福田区 梅林 ,近9号线梅景站
领航城领秀花园,2室1厅1厨1卫,80.37㎡,469,58356元/平米,东南,有,宝安区 西乡 ,
潜龙曼海宁花园南区,3室1厅1厨2卫,88.6㎡,540,60949元/平米,南,有,龙华区 上塘 ,近4号线(龙华线)上塘站
莱蒙水榭春天B区6期,4室2厅1厨2卫,127.99㎡,1220,95320元/平米,南,有,龙华区 红山 ,近4号线(龙华线)红山站
置地逸轩,1室1厅1厨1卫,39.21㎡,208,53048元/平米,东,有,罗湖区 春风路 ,近9号线人民南站
金海花园,2室1厅1厨1卫,75.82㎡,550,72541元/平米,南,有,福田区 竹子林 ,近1号线(罗宝线)竹子林站
泰华阳光海小区,2室1厅1厨1卫,78.76㎡,550,69833元/平米,南,有,宝安区 碧海 ,近11号线碧海湾站
百花公寓一期,3室1厅1厨1卫,94.86㎡,1160,122286元/平米,东南,有,福田区 百花 ,近3号线(龙岗线)通新岭站
尚书苑,1室1厅1厨1卫,47.99㎡,335,69807元/平米,西南,有,福田区 梅林 ,近9号线梅景站
岗厦变电综合楼,3室1厅1厨1卫,98.78㎡,410,41507元/平米,东南,有,福田区 福田中心 ,近1号线(罗宝线)岗厦站
中粮凤凰里,3室1厅1厨2卫,89.33㎡,466,52167元/平米,南 北,有,宝安区 福永 ,近11号线桥头站
花样年花郡,1室1厅1厨1卫,33.93㎡,332,97849元/平米,东北,有,宝安区 宝安中心 ,近1号线(罗宝线)宝体站
星海名城六期,3室2厅1厨1卫,97㎡,750,77320元/平米,西北,有,南山区 前海 ,近1号线(罗宝线)大新站
尚书苑,2室2厅1厨1卫,67.82㎡,468,69007元/平米,南,有,福田区 梅林 ,近9号线梅景站
天骄世家,2室1厅1厨2卫,76.87㎡,430,55939元/平米,东南,有,宝安区 西乡 ,
龙光玖龙玺北区,4室2厅1厨2卫,86.77㎡,750,86436元/平米,西北,有,龙华区 梅林关 ,近4号线(龙华线)白石龙站
百合盛世,4室2厅1厨1卫,80.27㎡,295,36751元/平米,南,有,龙岗区 龙岗中心城 中环至外环,
豪方菁园,2室2厅1厨2卫,47.25㎡,200,42329元/平米,东,有,坪山区 坪山 ,
岸上林居,4室2厅1厨2卫,81.12㎡,325,40065元/平米,南 北,有,龙岗区 龙岗中心城 中环至外环,
财富广场,1室0厅0厨1卫,48.75㎡,450,92308元/平米,西南 西北,有,福田区 香蜜湖 ,近1号线(罗宝线)车公庙站
中南花园,4室2厅1厨2卫,116.09㎡,740,63744元/平米,东南,有,宝安区 翻身 ,近1号线(罗宝线)新安站
中爱花园,2室2厅1厨1卫,59.7㎡,445,74540元/平米,西,有,南山区 西丽 ,近7号线桃源村站
万科金色家园,2室1厅1厨1卫,79.1㎡,678,85715元/平米,南,有,福田区 景田 ,近2号线(蛇口线)景田站
港湾丽都,3室2厅1厨2卫,106.82㎡,760,71148元/平米,东南,有,南山区 前海 ,近1号线(罗宝线)大新站
